Year,Point.Forecast,Lo.80,Hi.80,Lo.95,Hi.95
20-Jan,5446.451223,5302.711662,5590.190785,5226.620534,5666.281913
20-Feb,5446.451223,5302.711661,5590.190786,5226.620533,5666.281914
20-Mar,5446.451223,5302.71166,5590.190786,5226.620532,5666.281915
20-Apr,5446.451223,5302.711659,5590.190787,5226.620531,5666.281916
20-May,5446.451223,5302.711659,5590.190788,5226.62053,5666.281917
20-Jun,5446.451223,5302.711658,5590.190789,5226.620529,5666.281918
20-Jul,5446.451223,5302.711657,5590.190789,5226.620527,5666.281919
20-Aug,5446.451223,5302.711657,5590.19079,5226.620526,5666.28192
20-Sep,5446.451223,5302.711656,5590.190791,5226.620525,5666.281921
20-Oct,5446.451223,5302.711655,5590.190791,5226.620524,5666.281923
20-Nov,5446.451223,5302.711654,5590.190792,5226.620523,5666.281924
20-Dec,5446.451223,5302.711654,5590.190793,5226.620522,5666.281925
21-Jan,5446.451223,5302.711653,5590.190794,5226.620521,5666.281926
21-Feb,5446.451223,5302.711652,5590.190794,5226.62052,5666.281927
21-Mar,5446.451223,5302.711652,5590.190795,5226.620519,5666.281928
21-Apr,5446.451223,5302.711651,5590.190796,5226.620518,5666.281929
21-May,5446.451223,5302.71165,5590.190796,5226.620516,5666.28193
21-Jun,5446.451223,5302.711649,5590.190797,5226.620515,5666.281931
21-Jul,5446.451223,5302.711649,5590.190798,5226.620514,5666.281932
21-Aug,5446.451223,5302.711648,5590.190799,5226.620513,5666.281934
21-Sep,5446.451223,5302.711647,5590.190799,5226.620512,5666.281935
21-Oct,5446.451223,5302.711647,5590.1908,5226.620511,5666.281936
21-Nov,5446.451223,5302.711646,5590.190801,5226.62051,5666.281937
21-Dec,5446.451223,5302.711645,5590.190802,5226.620509,5666.281938
