state,district,market,commodity,variety,min_price,max_price,modal_price,year,month
Andhra Pradesh,Kurnool,Adoni,Cotton,Bramha,4276,5560,5461,2019,10
Andhra Pradesh,Kurnool,Adoni,Cotton,Bramha,4009,5545,5462,2019,11
Andhra Pradesh,Kurnool,Adoni,Cotton,Bramha,3469,5556,5466,2019,1
Andhra Pradesh,Kurnool,Adoni,Cotton,Bramha,3611,5495,5454,2019,1
Andhra Pradesh,Kurnool,Adoni,Cotton,Bramha,3989,5538,5371,2019,2
Andhra Pradesh,Kurnool,Adoni,Cotton,Bramha,3500,5480,5266,2019,2
Andhra Pradesh,Kurnool,Adoni,Cotton,Bramha,3457,5582,5289,2019,2
Andhra Pradesh,Kurnool,Adoni,Cotton,Bramha,3337,5582,5280,2019,1
Andhra Pradesh,Kurnool,Adoni,Cotton,Bramha,3650,5769,5369,2019,3
Andhra Pradesh,Kurnool,Adoni,Cotton,Bramha,3849,5795,5370,2019,3
Andhra Pradesh,Kurnool,Adoni,Cotton,Bramha,4050,6226,5676,2019,2
Andhra Pradesh,Kurnool,Adoni,Cotton,Bramha,4508,6346,5779,2019,8
Andhra Pradesh,Kurnool,Adoni,Cotton,Bramha,4549,6381,5856,2019,4
Andhra Pradesh,Kurnool,Adoni,Cotton,Bramha,4007,6290,5829,2019,5
Andhra Pradesh,Kurnool,Adoni,Cotton,Bramha,4289,6338,5869,2019,5
Andhra Pradesh,Kurnool,Adoni,Cotton,Bramha,4587,6459,5901,2019,5
Andhra Pradesh,Kurnool,Adoni,Cotton,Bramha,4589,6439,5941,2019,5
Andhra Pradesh,Kurnool,Adoni,Cotton,Bramha,4473,6463,6071,2019,6
Andhra Pradesh,Kurnool,Adoni,Cotton,Bramha,4057,6197,5911,2019,7
Andhra Pradesh,Kurnool,Adoni,Cotton,Bramha,4647,6226,5945,2019,7
Andhra Pradesh,Kurnool,Adoni,Cotton,Bramha,4877,6197,6011,2019,7
Andhra Pradesh,Kurnool,Adoni,Cotton,Bunny,3620,5540,5466,2019,3
